id,expertise,scanpath,length
N087,novice,"V1,V2,V6,V1,V2,V4,V4,II,aVR,aVF,V1,V2,V1,V5,I,V4,aVR,I,V4,aVF,V1,aVL,V4,I,III,V3,V2,V3,V3",29
N078,novice,"V1,I,II,V2,III,V3,aVL,V6,V3,II,V4,V4,aVL,V1,V5,II,aVR,I,V1,aVF,V5,aVL,V4,aVF",24
E057,expert,"aVL,I,V1,V3,V4,II,I,aVL,I,aVL,V5,V4,V6,II,aVF,I,V1,V2,V3,V2,V3,V2,V3,V4,V5",25
N053,novice,"I,III,V3,I,II,III,V4,V5,V6,V1,aVR,III,I,V5,V5,I,I,V6,V6,V5,III,I,aVF",23
E083,expert,"II,I,V1,II,I,aVF,III,aVF,I,aVF,I,aVF,I,aVF,I,aVF,aVL,aVF,I,II,aVF",21
E069,expert,"II,III,II,aVF,III,aVF,II,aVF,V1,V2,V3,V4,V5,aVL,V1,V2,V3,V1",18
N025,novice,"aVL,III,V3,III,aVF,V2,V1,V2,V6,V6,III,aVL",12
E017,expert,"II,III,aVF,V1,V2,V3,V4,V6,aVL,V1,V3,V2,V3,V4,V6,II,V2,V3,V4,V5,V6,I",22
N049,novice,"V4,II,II,I,III,V3,V6,V1,V2,V2,aVL,aVR,V5",13
E094,expert,"II,III,I,V1,V2,V4,V5,V6,V1,V2,V4,V5,V6,II,III,II,aVF,aVL,V5,aVL,V1",21
E066,expert,"II,aVF,aVL,aVF,II,III,aVF,V1,V2,V3,V4,V3,V5,V6,II,I,V5,V6,II",19
E061,expert,"V1,V2,V4,II,I,V1,II,aVF,II,III,aVF,aVL,V1,V2,V1,II,aVF,I,V1",19
E085,expert,"I,aVL,aVF,II,III,aVF,V1,V2,V3,V4,V5,V6,II,III,aVF,III,aVF,I,aVL,V1,V2,II,III,I",24
E068,expert,"II,I,aVF,I,V1,II,V1,II,V1,V2,V1,II,aVF,aVL,aVF,aVL,V1,V2,V3,V1,V2,V3,V2,V3",24
N026,novice,"aVL,II,III,V4,V4,aVL,aVR,III,aVR,V2,aVR,V5,aVL",13
N033,novice,"III,V3,V4,V3,V6,V1,V5,III,aVR,V6,aVL,II,aVF,aVR,V1,V1,V6,V5,II,aVR,V5,V6",22
E010,expert,"II,V2,V3,V2,V3,V4,V5,I,aVF,II,III,aVF,aVL,V1,V2,V3,V5,V6,II,V1",20
E019,expert,"I,V5,V6,V5,aVL,V1,V2,V3,V2,V3,V4,V6,II,V1,aVR,I,aVL,aVR,V1,V2,V3,V4",22
E056,expert,"V1,V2,V3,V4,V5,V6,V5,V6,I,V1,V2,V3,V5,V6,II,aVF,II,V1,aVR,I,V1",21
E076,expert,"II,aVF,V1,V3,V2,V3,V5,V6,V1,V2,V3,V4,V3,V4,V5,V4,V5,V6,V1",19
N051,novice,"II,I,aVF,aVL,V2,aVF,V2,aVR,V3,V4,aVR,V5,aVL,V3,aVF,aVL,V5",17
N005,novice,"III,aVR,V4,aVL,aVR,II,II,II,V2,V5,II,I,aVL,aVF,V6",15
N036,novice,"II,V1,aVR,V3,V6,aVF,V1,aVL,V3,V5,V6,V1,V3,V5,aVL,III,aVF",17
N038,novice,"V1,V3,V3,I,V6,aVL,II,V1,V2,V1,V5,V6",12
N065,novice,"aVR,II,III,V2,V3,aVL,aVL,aVF,aVF,V5,III,V3,V5,V4,V6,V3,V1,aVL,V4,aVR,III,II,V5,II,aVF,V4,II",27
E077,expert,"II,V1,II,V1,V2,V3,V4,V6,V5,V6,aVL,V5,V6,I,II,III,I,aVL",18
E080,expert,"I,aVF,I,aVF,aVL,V5,V6,V1,V3,V2,V3,V4,V6,I,V5,V6,II,aVF,V1,V2,V3,V2,V3",23
N098,novice,"V5,V3,V6,V3,V4,aVR,V4,aVL,aVF,V6,aVF,aVL,II,aVR,V2,V2,V4,V3,V2,aVL,II,aVF,aVF,V1,V4,V6,V4",27
E039,expert,"II,III,aVF,III,II,III,aVF,III,II,III,II,III,aVF,V1,V2,V3,V2,V3,V5,V6,V5,aVL,V5,V6,V1",25
E025,expert,"II,aVF,aVL,aVF,aVL,V1,V2,V4,II,I,aVF,II,III,aVF,V1,aVR,V1,aVR",18
N023,novice,"II,I,I,V3,V4,V1,V3,V1,V2,V2,II,V1,aVR,II,V2,V5,V4,III,aVF,aVR,aVF,I,V4,V5,V4,V3,V4,I",28
N096,novice,"V3,I,II,V1,V2,aVL,V3,V3,V6,aVR,II,aVF,V6",13
E030,expert,"II,aVF,II,III,I,aVL,V1,V2,II,III,II,III,II,aVF,I,V1,II,aVF,II,V1,V2,V1",22
E020,expert,"II,aVF,II,III,aVF,I,II,aVF,I,aVF,III,II,aVF,III,I,aVF,I,V1,V2,V3,V4",21
N044,novice,"V3,III,II,II,aVR,V4,V6,V5,V6,II,I,aVF,aVF,aVL,V3,II,aVF,I,aVL,aVR,aVR,aVR,I,aVR,I,III,aVF,II,V1,III",30
E087,expert,"II,III,I,V1,V3,V4,V3,V5,V6,I,aVF,aVL,V1,V2,V1,V2,V3,V5,V6,II,III",21
N015,novice,"V2,V3,V6,V1,V2,V2,V3,V4,III,II,aVF,V1,V2,V2,II,II,aVL,aVL,I,aVL,II,III,V4,V4",24
N074,novice,"V5,aVR,V6,V5,I,I,III,V4,V5,V5,V4,V6,III,V1,V2,V4,V3",17
E006,expert,"II,V2,V3,V4,V5,I,aVL,V5,V6,aVL,aVF,III,aVF,III,II,V1,II,V1,V2",19
N027,novice,"aVL,V1,aVR,aVF,V4,V3,I,aVR,I,V5,V6,aVL,V6,I,aVF,aVR,V2,I,V4,V6,V6,V3,aVF,V1,aVR",25
N018,novice,"II,V1,V2,V6,V3,V3,V1,V5,I,aVF,aVF,aVL,II,aVL,V6,V2,V3,aVR,aVF,aVF,aVL,aVF,V1,aVF,V5,V2,V1,aVL,V6,V2",30
E074,expert,"II,III,aVF,V1,V2,V3,V2,V4,V6,I,aVL,I,aVF,V1,V3,V4,V5,V6,I,V1",20
N041,novice,"V3,V2,V3,II,II,aVL,aVR,I,I,I,III,III,aVF,aVF,V4,V6,V3,V6,V5,V5,V3,V4",22
E099,expert,"II,III,I,V1,V2,V3,V4,V3,V4,II,aVF,I,aVL,V1,V2,V3,V4,V5",18
N073,novice,"III,III,III,V6,aVL,V1,V2,aVL,V6,aVR,V2,V4,aVR,V2,V6",15
E097,expert,"II,V1,V2,V3,V2,V3,V4,V5,V6,II,V1,V5,V6,I,V1,V5,V6,V1,V5",19
N070,novice,"V1,III,II,aVF,V4,V2,aVR,V2,aVF,aVL,III",11
E098,expert,"II,I,aVL,I,aVL,V1,V2,V3,V2,V3,V4,V5,V6,I,aVF,aVL,V1,V2",18
E032,expert,"II,III,aVF,I,aVL,V5,V6,I,aVL,V1,V3,V5,V6,II,III,I,aVL,V5,V6,I,V1,V3,V2",23
E013,expert,"aVL,aVF,aVL,V1,V2,II,III,aVF,I,aVL,V1,V2,V1,V2,V3,V4,V5,I,II,III,aVF,II",22
E036,expert,"II,III,aVF,aVL,I,aVF,aVL,I,aVL,V5,V6,I,aVF,III,aVF,aVL,aVR,V1,aVR",19
N020,novice,"II,II,V2,III,aVR,III,V1,V5,aVF,V6,V3,aVF,aVL,V6,aVL,aVL,aVL,aVL,V4,V5",20
E043,expert,"V1,aVR,V1,II,III,aVF,I,aVL,aVR,aVL,aVF,I,II,aVF,I,V1,V2,II,III,aVF,aVL,aVR,V1,V3,V4",25
N090,novice,"V3,V4,V2,V6,V4,V2,V4,V1,aVR,V5,V6,aVF,V4,aVF,V2,aVR,aVR,V6,III,V5,aVL,V1",22
E091,expert,"I,aVF,aVL,V1,V3,V5,I,II,V1,V3,V4,V5,V4,V5,I,aVL,V1,V2,V1",19
N037,novice,"I,III,aVF,aVL,V2,V2,V6,aVF,aVL,V1,aVF,III,V4,II,II,III,aVF,V2,aVL,aVF,V6",21
E052,expert,"II,V1,V2,V1,V2,V4,V5,V6,II,V2,V3,V4,V5,I,aVF,II,V1,V2,V3,V4,V5,I,V1,V2",24
N028,novice,"II,III,aVR,III,II,aVR,V3,III,III,V2,V6,V2,V2,V2,III,V2,aVL,aVL,I,V2",20
N063,novice,"V2,II,aVL,aVF,V4,aVR,II,aVR,V1,V2,II,V2,aVR,II,aVF,V1,V1,aVF,V5,V3,V6,V4,V5,aVF,aVR",25
E042,expert,"II,aVF,V1,V2,V3,V2,V3,V4,V5,V4,V3,V4,V5,V4,V5,V6,V5,V6,V5",19
N019,novice,"II,II,V5,V1,V4,III,aVF,V1,V3,V5,aVF,V6,II,aVF,V1,V2,V6,V2,II,V4",20
N014,novice,"II,II,V2,V5,V1,V2,aVL,V1,V6,V3,aVR,aVR,aVF,aVL,V1,V1,III,aVF,I,aVL,aVF,aVL,II,III",24
E027,expert,"II,III,II,III,aVL,I,aVL,aVR,aVL,V5,aVL,aVF,aVL,V1,V3,V4,V5,V6,I,aVF,V1,V2,II",23
N040,novice,"V3,aVF,V6,V6,V2,V1,V2,I,V1,V4,II,I,II,V1,III,V5,V6,III,aVF,aVF",20
N001,novice,"V2,V3,V4,aVR,V2,V4,I,II,III,V5,II,V5,V2,V3,V6,V3",16
N012,novice,"aVL,aVF,aVR,V4,aVL,I,V3,V4,aVR,V5",10
E003,expert,"aVL,V1,V2,V4,V5,I,aVL,V1,V2,V3,V4,V5,V6,I,aVF,aVL,V1,V2,V3,V4",20
E078,expert,"II,III,II,III,aVF,I,V1,V2,V3,V4,V5,V6,II,III,aVF",15
E047,expert,"II,aVF,aVL,V5,V6,V1,V3,V4,V5,V4,V5,V6,I,aVL,V1,V2,V3,V1,V2,V3,V4,V5",22
N088,novice,"aVF,V3,aVF,V2,V1,I,aVF,V5,V3,V3,V4,I,aVF,II",14
N092,novice,"aVR,III,aVF,V3,V6,V5,I,aVF,V2,V6,V6,III,V4",13
E086,expert,"V1,V2,V3,V5,aVL,aVF,III,aVF,I,aVL,V5,V6,I,V1,V2,V3,V4,V5,aVL,V1,V2,V4",22
N062,novice,"V2,V1,II,aVR,aVR,I,II,V6,V4,V5,III,aVF,III,I,III,aVF,II,III",18
E037,expert,"II,aVF,V1,V2,V3,V2,V1,aVR,V1,V2,V1,V2,V1,V2,V1",15
N091,novice,"aVL,aVR,V4,V6,aVR,aVR,III,aVL,aVL,aVL,III,aVL,V6,V2,V3,V4,V5,V6,I,V3,V6,V5,aVF,aVF,aVL",25
E062,expert,"II,V1,V2,V4,V5,V6,II,aVF,V1,V2,V3,V4,V5,V6,V5,V6,I,aVL,I,aVL,I,aVF,aVL,aVF",24
E023,expert,"II,III,aVF,aVL,aVR,aVL,aVF,I,V1,V2,V3,V4,V5,V6,II,V1,V2,V4,V5,V6,V5,V6,I",23
N042,novice,"II,I,aVF,aVL,aVF,II,I,V2,I,II,III,aVF,V5,V4,aVL,V1,aVL,aVR,V5,V6,aVR,V4,V4,V3,V4",25
N002,novice,"V5,V2,aVL,aVF,aVF,V1,aVL,V1,III,aVR,III,II,aVR,V1,aVF,aVF,aVF,V2,V1,III,aVF,V1,V1,V1",24
E034,expert,"II,I,II,V1,V2,V3,V1,II,I,V1,II,V1,V5,V6,I,II,aVF,II,V1,V2",20
E012,expert,"II,V1,V5,V6,II,I,aVF,V1,V5,V6,V5,I,aVF,aVL,aVR",15
N095,novice,"I,aVF,aVL,V2,V3,V2,V3,V1,aVF,V2,V6,V2,II",13
N060,novice,"V6,V2,I,aVL,V4,III,aVF,aVR,II,V3,V3,II,I,V3,III,aVR,aVF,V6,aVF,aVR,V4",21
E007,expert,"II,III,aVF,V1,V2,V3,V4,V3,V4,V5,V6,V5,V6,II,III,aVF,aVL,aVF,V1,II,III,aVF,I",23
E028,expert,"II,I,aVL,V1,V2,V4,V6,II,I,aVL,I,aVL,V1,V3,V2,V3",16
N021,novice,"I,V3,aVL,aVF,II,V4,V1,V4,V2,V1,V4,V5,aVR,I,aVR",15
E005,expert,"II,V1,V2,V3,V4,V5,V6,aVL,V5,V6,aVL,I,V1,V2,V3,V4,V5",17
E033,expert,"II,III,aVF,V1,V2,V3,V2,V3,V4,V5,V6,I,V1,V2,V3,V4,V5,V6,aVL,V1,V3,V4,V5,I,aVL",25
N043,novice,"I,aVF,V4,V2,V3,aVF,aVL,V3,I,II,V5,V4,aVL",13
N046,novice,"II,aVL,II,V3,V4,aVF,V4,II,aVF,II,V6,V3,V4,V3,V1,V4,V5,V1,II,III",20
N010,novice,"V5,aVL,II,aVR,I,aVR,V5,aVR,V5,aVF,V3,V4,V5,V1,aVL,aVL,V4,aVL,II,III",20
N045,novice,"II,V5,aVF,aVF,V1,aVR,I,III,V1,V5,V1,V2,V5,V4,II,III,V5,III,V1,II,III,aVL,V5,aVF,II",25
E011,expert,"II,V1,aVR,aVL,aVF,I,aVL,V1,V2,V1,V2,V3,V4,V5,V6,V5,V4,V5,V6,II,III,I,aVL",23
E063,expert,"II,III,aVF,aVL,I,aVF,aVL,V5,V4,V6,V1,V2,V3,V2,V1,V3,V5,aVL,V1,V2,V1,V2,V4,V3",24
N013,novice,"V2,V3,V2,V3,aVR,aVL,aVL,aVR,aVR,aVL,aVF",11
N047,novice,"II,I,V2,V6,V4,V6,V1,V2,V2,V4,V4,V4,V1,V1,V2,V1,V4,aVF,V2,I,V4,V1,aVF,aVL,V1,V5,V3,V2",28
N067,novice,"V4,V1,aVR,V6,I,V6,V4,aVF,V4,I,aVL,V3,V1,aVR,aVR,V4,V5,V6,aVR,V4,V6,V3,V1,V5,I,aVF,aVF,II,aVF",29
E001,expert,"I,aVL,V1,V2,V3,V4,V5,V6,II,III,aVF,V1,V2,V1,V2,V3,V4,V5,I,V1,aVR,V1,V2",23
N099,novice,"II,aVR,V6,I,V3,II,III,aVF,aVF,II,II,III,aVR,V2,V5,V6,V3",17
N054,novice,"V1,aVR,III,I,II,III,aVF,V1,aVR,V6,V3,III,V5,V4",14
E071,expert,"aVL,V1,V2,V1,V2,V4,V5,aVL,V1,V3,V4,V3,V1,II,aVF",15
N024,novice,"V2,V3,aVL,V3,V2,V3,V6,II,aVF,V2,V3,V5,V4,aVR,I,aVF,V3,aVR,aVL",19
E065,expert,"II,III,II,III,aVF,V1,V2,V1,V2,V3,V4,V3,V2,V3,V4,V5,V4,V5,V6,V5",20
E045,expert,"I,aVF,III,aVF,III,aVF,I,V1,V2,V3,V4,V6,V1,V2,V4,V6,V1,V2,V3",19
N064,novice,"aVL,II,III,V2,aVL,aVR,aVR,aVL,V1,V2,III,I,V1,V5,aVR,V3,III,aVL,I,V5",20
E029,expert,"V1,V2,II,III,I,V1,aVR,V1,V2,V4,V5,aVL,aVF,V1,V2,V3,V4,V5,I,II",20
E041,expert,"II,aVF,aVL,aVR,II,III,II,III,II,III,II,I,II,III,aVF,I,aVL,V1,V2,V1",20
N009,novice,"V2,V5,V6,V4,V6,V4,V5,V3,I,V6,V3,III,II,II,aVF,V5,V3,V2,aVL,aVR,aVR,V4,V4,II,V6,III",26
N056,novice,"V2,V2,V6,III,V5,V5,V3,V4,aVR,V2,aVL,V3,V2,V4,V4,V4,V1",17
N057,novice,"V2,V3,II,V1,V5,V4,V1,V2,V3,V6,III,V2,V1,aVR,aVF,V4",16
E026,expert,"II,III,II,aVF,II,aVF,V1,V2,V3,V2,V3,V4,II,aVF,II,III,aVF,III",18
E024,expert,"II,aVF,aVL,V1,V2,II,aVF,aVL,V1,II,aVF,III,II,V1,aVR,I,aVL,V5,I,aVL,aVF,aVL,aVF,I",24
N085,novice,"I,V3,I,V3,aVR,aVF,V2,V3,III,III,III,III,III,aVF,I,aVF,V2,V3,aVF,V1,V2,V3,V2,V6",24
N048,novice,"V5,III,I,V3,V4,V5,V6,V3,aVR,III,V3,V2,V4,aVL,II,V6,aVR,aVR,aVR,aVF,V4,V5,V6",23
E082,expert,"II,V2,V4,V6,I,aVL,V1,V2,V3,V2,V3,V4,V5,V6,V5",15
E040,expert,"II,V1,II,III,II,V1,V2,V3,V5,V4,V5,V6,aVL,V1,V2,V3,V4",17
N069,novice,"V3,V6,V4,V3,V2,V1,III,I,II,aVF,aVL,aVL,V3,V1,V2,V3,aVR,III,aVF,V1,V3,II",22
E048,expert,"II,aVF,I,aVF,V1,V2,V1,V2,V1,V2,V4,V3,V4,V5,V6,II,III,aVF,V1,V2,V1,V3,V4,V5,V6",25
E095,expert,"II,aVF,aVL,V1,V2,V4,V6,I,aVL,V1,V2,V3,V5,V4,V6,II,III,II,III,aVF,V1,aVR,aVL",23
N055,novice,"I,V1,V2,V6,V2,V6,V2,aVL,aVR,V4,III,V6,V6,aVF,V2,III,V2,V3,V4",19
E044,expert,"II,I,aVL,I,aVF,I,V1,V2,V3,V4,V5,V6,II,aVF,aVL,aVR,aVL,I,aVF,I,V1",21
N039,novice,"V6,V1,V1,V5,V4,III,V3,V1,V5,V2,aVR,V3,I,aVR,V1",15
E004,expert,"II,III,aVL,aVF,I,aVF,I,aVF,I,aVL,aVF,aVL,V1,II,aVF,aVL,V1,V2,V3,V4,V5,aVL",22
N006,novice,"II,V3,aVR,aVL,aVF,III,V6,V4,V5,V3,I,V1,V4,I,aVF",15
E054,expert,"aVL,aVF,aVL,aVF,III,II,V1,V2,V3,V4,V5,I,II,V1,II,V1,V2,V4,V3",19
N034,novice,"aVF,V1,I,aVL,V1,V4,I,aVR,V2,V3,aVF,V5,V6,V1,aVR,V4,V3,V3,V6,aVL,V5,aVF",22
N081,novice,"V1,aVR,aVR,V4,V5,V5,aVL,V4,V6,V3,V4,V4,V2,aVR",14
N079,novice,"aVL,aVF,II,V1,V2,V4,I,II,V2,I,V6,aVL,V1,V2,V6,V5",16
N086,novice,"II,III,V1,V4,V2,V3,II,V1,V2,V5,V6,V5,I,III,aVL,II,V3,III,V4,V5,V6,V4,V5,V1,V6",25
E050,expert,"II,III,aVF,V1,V2,V3,V2,V3,V4,V5,V6,V5,V6,I,aVL,aVR,V1,V3,V4,V5,V6",21
E081,expert,"II,V1,V3,V5,I,aVL,I,aVF,V1,V2,V3,V4,V5,V6,I,V1,V2,V3,V4,V6,V5",21
E035,expert,"II,I,aVF,II,V1,II,I,aVF,aVL,aVF,V1,II,I,aVF,aVL,V1,V5,V6,I,V1,V5,aVL,aVF",23
E008,expert,"I,V1,V2,V3,V4,V6,II,III,I,aVL,I,aVL,V1,V2,V3,V5,V6,I,V1",19
N011,novice,"V1,V5,III,III,III,III,I,aVL,aVR,V1,V3,aVL,V3,III,I,aVL,aVR,V3,V4,V2,V2,V1,aVR,V1,V5,V6,V6,II,aVF",29
E092,expert,"II,III,II,III,aVF,V1,V2,V1,V2,V3,V4,V5,I,aVF,V1,V2,V3,V4,V3,V4,V5,V6,II,III",24
E084,expert,"II,V1,V2,V4,V5,V6,I,aVL,V1,V2,V3,V4,V3,V4,V5,V6,I,aVF",18
N077,novice,"aVF,V2,III,aVF,aVR,III,V5,V4,I,V2,III,aVF,V1,V6,V1,V5,V6,I,V1,II,II,aVF,V1,V4,III",25
N082,novice,"aVL,I,III,III,V5,V2,aVF,II,III,aVR,I,V2,V2,V2,V6,V3,V6,aVR",18
E090,expert,"I,aVF,V1,V2,V3,V5,V6,V5,V6,II,III,aVF,I,aVF,I,aVL,aVR",17
E009,expert,"II,V1,II,III,II,III,aVF,II,III,II,III,II,III,II,aVF",15
E014,expert,"II,III,I,aVF,aVL,aVF,aVL,aVF,aVL,V1,V2,V3,V4,V3,V2,V4,V3,V5,aVL,aVR,II,III,aVF,I,aVF",25
E060,expert,"II,I,aVF,aVL,aVF,II,V1,V2,V3,V5,V6,V5,V6,II,V1,V2,V3,V4,V6,V1,II,aVF,V1,V2,V4",25
N072,novice,"II,III,V3,aVL,V2,I,aVL,V6,V5,V5,aVF",11
N032,novice,"aVR,V6,V4,V3,aVR,aVR,aVF,I,I,V4,I,V4,II,III,V1,V2,V3,V5,V5,I,V1,V2,V3,V5,V6,V6,V2",27
E018,expert,"II,aVF,I,aVF,II,aVF,II,III,aVF,aVL,I,aVF,aVL,I,aVL,aVF,V1",17
E073,expert,"I,aVL,I,II,aVF,I,aVL,aVF,I,aVL,V1,V2,V1,V2,II,aVF,II,I,aVL,aVF",20
N076,novice,"III,aVR,III,aVF,V4,aVF,II,II,V3,V1,III,aVL,III,aVF,V2,III,aVF,III,V5,V1,V4,II,II,aVF,V4,V4,V6,V6,V4,V5",30
N035,novice,"V1,aVR,III,V2,V3,aVL,aVF,V6,V5,aVR,V2,III,I,aVL,V3",15
N068,novice,"aVL,V3,aVF,V5,V6,V2,V5,V6,V4,I,aVL,V5,V3,V6,V2,V4,aVL,I,II,V3,I,aVF,V4,V1,V2,I,III,aVL",28
N084,novice,"V3,V4,V5,V2,I,aVF,II,I,aVF,II,aVF,I,I,V3,aVR,V6,III,V4",18
E064,expert,"I,V1,V2,V3,V4,V5,I,aVF,I,II,III,aVF,I,II,III,I,aVL,V5,V6,II,V1,V2,V1,V2,V3",25
E055,expert,"II,aVF,aVL,aVF,I,V1,V3,V4,V5,V6,II,V1,V3,V2,V3,V4,II,III,aVF,aVL,aVR,V1,V2,V3,V5",25
N008,novice,"I,aVL,V4,V6,II,I,V3,V6,aVL,aVF,V1,V2,V1,V2,V3,V2,V3,V2,aVL,aVF,aVL,V4",22
E051,expert,"II,III,aVF,II,III,aVF,I,V1,II,III,II,III,aVF,II,aVF,I,aVL,I,aVF,I,aVF",21
N097,novice,"II,I,V3,III,aVF,II,V5,aVF,V3,V2,aVF",11
E059,expert,"II,aVF,V1,II,III,aVF,I,aVL,V1,V3,V4,II,III,aVF,III,aVF",16
E049,expert,"V1,V2,V3,V4,II,aVF,III,aVF,III,aVF,II,III,I,aVF,II,aVF,II,III",18
E089,expert,"II,aVF,I,aVF,I,V1,V2,V4,V5,V6,V5,V6,II,I,aVL,V1,II,I,aVF,V1,V2,V1",22
E022,expert,"II,I,V1,V2,V1,V2,V3,V4,V6,V1,V2,V3,V4,V5,V6,II,III,aVF,I,V1,V2,V3,V4,V3",24
E058,expert,"II,III,I,V1,V2,V1,V2,V3,V4,V5,V6,V1,V2,V4,V3,V2,V3,V4,V5,V6,V1,V2,V3,V2",24
N061,novice,"II,V1,V2,V3,III,III,V6,I,V1,V2,aVF,V1,V2",13
N093,novice,"V1,aVL,aVF,V2,aVL,aVR,V4,V2,aVF,aVL,aVL,III,II,aVF,aVL,III",16
N030,novice,"II,aVL,aVR,V1,II,III,III,I,V5,aVL,II,aVF,I",13
E038,expert,"aVL,aVF,III,aVF,aVL,V5,V4,II,aVF,aVL,V1,V2,V3,V4,V5,V6,V5,V6,V5,V6",20
N058,novice,"aVF,V1,I,aVL,V5,I,V4,V2,V3,aVF,II,aVL,V2,aVL,aVF",15
N094,novice,"V2,V2,V3,V2,V3,V5,V4,V5,V6,V1,V3,V4,I,V4,V1,V3",16
E002,expert,"V1,V2,V1,V2,V3,V2,II,I,V1,II,I,aVF,aVL,V1,II,III,aVF",17
E053,expert,"II,III,aVF,III,II,aVF,I,V5,V6,I,aVL,I,aVL,V5,V6,V1,V3,V4,V5,V4,II,aVF,V1,V2,II",25
N050,novice,"II,V5,V4,aVR,II,V4,aVL,II,aVF,aVR,V5,aVL,III,I,V4,aVL,aVF,V1,V2,V6,aVR,II,aVL",23
N031,novice,"II,III,V3,aVR,V6,V5,aVR,aVL,V2,aVF,V3,aVR,V1",13
N052,novice,"III,aVL,V6,V4,II,II,III,I,aVF,V2,I,I,I,V5,aVF,V2,V3,V4,V4,I,aVL,aVF,I,aVL,V5,V1,V2,V4",28
N004,novice,"II,V6,V5,V5,V3,III,aVR,V5,I,I,aVL",11
E100,expert,"II,III,II,III,II,aVF,I,aVF,I,aVF,I,V1,V2,V3,V2,V1,V2,V3,V5,V4",20
N017,novice,"II,III,I,V4,aVR,V6,V6,V2,III,III,aVF,V6,V6,aVR,aVL,III,V1,aVL,aVR,V1,V1,III,II,I,V2",25
E088,expert,"aVL,V1,V2,II,V1,II,III,aVF,III,aVF,I,aVL,V1,V2,V4,V5,V6,I,aVF,V1,aVR,V1",22
E075,expert,"II,V1,II,I,II,aVF,II,V1,V2,V3,V2,V1,II,V1,V5,V6,V5,V4,V6,II,V1,V5,V6,V5",24
N022,novice,"V5,aVL,V6,aVR,III,I,V2,V1,V4,aVR,V4,V5,V2,V1,V3,V5,V5,V2,I,V1,V2,aVF,V4,V3,III,V1",26
N100,novice,"V5,V3,V4,V2,V4,I,aVF,V1,V2,aVR,II,aVF,V5,V6,V6,aVL",16
E021,expert,"II,aVF,I,V1,aVR,aVL,aVF,I,aVF,I,V1,aVR,aVL,aVF,III,aVL,V1,V3,V2,V3,V4",21
N089,novice,"III,II,aVF,II,V5,V3,V2,V6,III,V5,V6,V2,V3,V5,aVF,aVR,V4,aVR,V6,aVR,V3,V3",22
E072,expert,"II,V1,V5,aVL,V5,aVL,I,II,I,V1,V2,V4,V3,V2,V3,V4",16
N007,novice,"II,V1,V3,aVL,V1,V2,V3,III,V3,aVR,V3,aVF,V1,II,II,aVL,III",17
E015,expert,"II,III,aVF,V1,V2,V3,V5,aVL,V1,V2,V3,V5,V6,V1,V2,V3,V2,V3,V4,V5,V4,V3,V4,V3",24
E093,expert,"II,I,aVF,I,V1,II,aVF,aVL,aVF,aVL,aVF,aVL,V1,V2,V4,II,I",17
N080,novice,"V6,V6,V2,aVR,aVF,V6,aVL,V3,aVF,III,aVR,V1,II,III,V3",15
N003,novice,"V3,aVL,I,aVL,II,I,V4,aVF,aVR,aVL,II,V6,aVL,aVR,aVR,aVR,V5,aVF,V6,V5,V1,V2,aVF,V1,III,V2,V5,V6,V6",29
